period_begin,period_end,period_duration,region_type,region_type_id,table_id,is_seasonally_adjusted,region,city,state,state_code,property_type,property_type_id,median_sale_price,median_sale_price_mom,median_sale_price_yoy,median_list_price,median_list_price_mom,median_list_price_yoy,median_ppsf,median_ppsf_mom,median_ppsf_yoy,median_list_ppsf,median_list_ppsf_mom,median_list_ppsf_yoy,homes_sold,homes_sold_mom,homes_sold_yoy,pending_sales,pending_sales_mom,pending_sales_yoy,new_listings,new_listings_mom,new_listings_yoy,inventory,inventory_mom,inventory_yoy,months_of_supply,months_of_supply_mom,months_of_supply_yoy,median_dom,median_dom_mom,median_dom_yoy,avg_sale_to_list,avg_sale_to_list_mom,avg_sale_to_list_yoy,sold_above_list,sold_above_list_mom,sold_above_list_yoy,price_drops,price_drops_mom,price_drops_yoy,off_market_in_two_weeks,off_market_in_two_weeks_mom,off_market_in_two_weeks_yoy,parent_metro_region,parent_metro_region_metro_code,last_updated
6/1/2021,6/30/2021,30,metro,-2,16984,f,"Chicago, IL metro area",,,IL,All Residential,-1,320000,0.015873016,0.187384045,309900,-0.016190476,0.036454849,186.5436047,0.007963611,0.19387907,184.6656489,-0.009036091,0.06908775,13011,0.195095068,0.608281829,11224,-0.031829552,0.165766514,15017,0.073870137,0.160868893,19873,0.131462082,-0.128071253,1.5,-0.1,-1.3,8,-1,-22,1.002700371,0.002747256,0.02876188,0.470371224,0.020752413,0.27321424,0.246012177,0.040705869,-0.026100845,0.61404134,-0.059554796,0.047256961,"Chicago, IL",16984,9/24/2023 14:28
6/1/2017,6/30/2017,30,metro,-2,16984,f,"Chicago, IL metro area",,,IL,All Residential,-1,254500,0.018,0.034552846,259900,0,0.060816327,151.0204082,0.008803515,0.031831696,154.5405458,-0.009278216,0.049894502,12067,0.121676892,0.037486029,9415,-0.084945087,0.004909809,13584,-0.030406852,0.005775211,30214,0.037711224,-0.102669953,2.5,-0.2,-0.4,28,-1,-5,0.979019999,0.001250304,0.003096276,0.242313748,0.012624215,0.02805874,0.284338386,0.015242357,-0.009653476,0.42496017,-0.019106309,0.046371206,"Chicago, IL",16984,9/24/2023 14:28
7/1/2020,7/31/2020,30,metro,-2,12060,f,"Atlanta, GA metro area",,,GA,All Residential,-1,279900,0.036666667,0.097647059,295000,-0.013377926,0.09805644,124.9630151,0.015598539,0.080089942,134.8523207,0.009299188,0.121245386,12036,0.110024901,0.109308756,10694,0.004791882,0.070042025,13337,0.025292128,-0.080523957,25087,-0.057800646,-0.311175178,2.1,-0.4,-1.3,32,-4,5,0.986949785,0.001904515,0.004149627,0.252077102,0.03082837,0.03797572,0.233826285,-0.001357371,-0.045086401,0.449691416,0.022838085,0.053153493,"Atlanta, GA",12060,9/24/2023 14:28
6/1/2021,6/30/2021,30,metro,-2,12060,f,"Atlanta, GA metro area",,,GA,All Residential,-1,339900,0.044640799,0.258888889,349000,0.011594203,0.16722408,153.9052393,0.013141887,0.250817581,158.316115,0.020789288,0.184913434,11781,0.112464589,0.086507424,11731,0.068008012,0.102226816,13980,0.129514422,0.074723247,15248,0.076000282,-0.427326673,1.3,0,-1.2,12,1,-24,1.015990292,0.003279608,0.030945022,0.549868432,0.020501105,0.3286197,0.19248426,0.029263598,-0.042699395,0.604296309,-0.016515781,0.177442978,"Atlanta, GA",12060,9/24/2023 14:28
7/1/2021,7/31/2021,30,metro,-2,16984,f,"Chicago, IL metro area",,,IL,All Residential,-1,312000,-0.025,0.114285714,299900,-0.032268474,0.0169549,184.9217639,-0.008694165,0.155761024,181.3636364,-0.017881033,0.038011273,11692,-0.101375759,0.075719937,10793,-0.038399857,0.059799686,13927,-0.072584404,0.020367793,21463,0.080008051,-0.073232868,1.8,0.3,-0.3,10,2,-14,1.000787607,-0.001912764,0.022123329,0.453215874,-0.01715535,0.222007851,0.261706192,0.015694015,-0.029368552,0.543129806,-0.070911534,0.001299484,"Chicago, IL",16984,9/24/2023 14:28
6/1/2016,6/30/2016,30,metro,-2,16984,f,"Chicago, IL metro area",,,IL,All Residential,-1,246000,0.046808511,0.051282051,245000,-0.02,0.022964509,146.3614742,0.028547725,0.036397466,147.1962617,-0.031432723,0.011591728,11631,0.156048107,0.032215122,9369,-0.026395095,0.067084282,13506,-0.029462489,-0.001552451,33671,0.019900648,-0.093720561,2.9,-0.4,-0.4,33,-3,-6,0.975923723,0.002040143,0.004221757,0.214255008,0.003242186,0.018035626,0.293991862,0.028983078,0.001337164,0.378588964,-0.028248821,0.023349784,"Chicago, IL",16984,9/24/2023 14:28
6/1/2017,6/30/2017,30,metro,-2,12060,f,"Atlanta, GA metro area",,,GA,All Residential,-1,228009,0.021499933,0.06421937,247073.5,-0.011702047,0.074232609,103.459432,0.012264947,0.067453379,107.1136549,-0.006957519,0.063346465,11449,0.04690929,0.044807447,9871,-0.008736694,0.020258398,15402,-0.014776434,-0.019792528,39079,0.036688243,-0.065453415,3.4,0,-0.4,36,0,-6,0.981060266,-0.000122646,0.002484795,0.218796401,-0.008251879,0.015930915,0.232682515,0.023562184,-0.182565237,0.349204741,-0.025669732,0.049566498,"Atlanta, GA",12060,9/24/2023 14:28
6/1/2018,6/30/2018,30,metro,-2,16984,f,"Chicago, IL metro area",,,IL,All Residential,-1,265000,0.039215686,0.041257367,260000,-0.054545455,0.000384763,156.2649808,0.016174753,0.034727576,157.5,-0.024013503,0.019150017,11373,0.074546485,-0.057512223,9128,-0.091650911,-0.030483271,13180,-0.093160864,-0.029740872,30217,0.051318628,9.93E-05,2.7,0,0.2,27,1,-1,0.979869077,0.00166581,0.000849078,0.241097336,0.0056476,-0.001216412,0.286726015,0.005221597,0.002387629,0.408413672,-0.043770625,-0.016546498,"Chicago, IL",16984,9/24/2023 14:28
6/1/2015,6/30/2015,30,metro,-2,16984,f,"Chicago, IL metro area",,,IL,All Residential,-1,234000,0.049327354,0.063636364,239500,-0.01399753,0.041757286,141.221374,0.04968596,0.057368975,145.5095545,-0.00187661,0.056069344,11268,0.223851417,0.163448632,8780,-0.035694673,0.083683041,13527,-0.038934281,0.00925166,37153,0.026921695,0.0567739,3.3,-0.6,-0.3,39,-3,6,0.971701966,0.00148025,-0.002352891,0.196219382,-0.000152943,-0.019371738,0.292654698,0.020563153,0.007306119,0.35523918,-0.033228695,-0.027999527,"Chicago, IL",16984,9/24/2023 14:28
5/1/2019,5/31/2019,30,metro,-2,12060,f,"Atlanta, GA metro area",,,GA,All Residential,-1,256000,0.037870096,0.045676882,284900,-0.014186851,0.047445725,116.2573827,0.015303667,0.053566904,123.0518725,-0.004437392,0.059757267,11266,0.159769405,0.015229341,10873,0.053279086,0.022090619,16558,0.065782698,0.073800259,35309,0.060139314,0.118825058,3.1,-0.3,0.3,24,-3,3,0.983112959,0.001566636,-0.002642786,0.222439198,0.007594643,-0.047273337,0.273896174,0.027604214,0.036150998,0.437045893,-0.04101281,-0.028831151,"Atlanta, GA",12060,9/24/2023 14:28
